title_id,reason,has_details_row,quality_flags
chudo,TRULY_MISSING,True,
otgoloski-dokazatelstv,TRULY_MISSING,True,
istinnoe-obrazovanie,TRULY_MISSING,True,
sem-snayperov,TRULY_MISSING,True,
skvottery-ubiraytes-na-hren-iz-moego-doma,TRULY_MISSING,True,
gorodskie-pacany-gorodskie-parni,TRULY_MISSING,True,
prizrak,TRULY_MISSING,True,
miss-sterva,TRULY_MISSING,True,
serdce-rycarya,TRULY_MISSING,True,
takane-i-hana,TRULY_MISSING,True,
idealnoe-prestuplenie,TRULY_MISSING,True,
fanatka,TRULY_MISSING,True,
zvon,TRULY_MISSING,True,
shou-odnogo-aktera,TRULY_MISSING,True,
desay,TRULY_MISSING,True,
tupik,TRULY_MISSING,True,
oksyumoron,TRULY_MISSING,True,
kogda-muzyka-stihaet,TRULY_MISSING,True,
lyubit-narcissa,TRULY_MISSING,True,
sherif,TRULY_MISSING,True,
uesthempton,TRULY_MISSING,True,
nashe-vremya-pridet,TRULY_MISSING,True,
kasa-grande,TRULY_MISSING,True,
reshaly,TRULY_MISSING,True,
sdelka,TRULY_MISSING,True,
edinyy-svidetel,TRULY_MISSING,True,
igra-geniya,TRULY_MISSING,True,
parik,TRULY_MISSING,True,
ne-zabyvay-menya,TRULY_MISSING,True,
klub-hizhina,TRULY_MISSING,True,
vse-chto-u-menya-bylo-eto-nichto-shoa-lancmana,TRULY_MISSING,True,
sapuri,TRULY_MISSING,True,
shou-toma-grina-dokumentalka,TRULY_MISSING,True,
troynoy-brosok,TRULY_MISSING,True,
eto-byla-moya-zhizn-metal-vospominaniya-nika-mency-s-megadeth-i-ne-tolko,TRULY_MISSING,True,
1975-god-izmenivshiy-ameriku,TRULY_MISSING,True,
sekret-vo-mne,TRULY_MISSING,True,
vneshtatnik-chelovek-sdelavshiy-snimok,TRULY_MISSING,True,
selena-y-los-dinos-semeynoe-nasledie,TRULY_MISSING,True,
tvoy-muzh-budet-moim,TRULY_MISSING,True,
nuna-ty-dlya-menya-zhenschina-2,TRULY_MISSING,True,
mstitel,TRULY_MISSING,True,
anderkard,TRULY_MISSING,True,
dzhivan,TRULY_MISSING,True,
i-snova-lyubov,TRULY_MISSING,True,
kogda-ya-skazala-da,TRULY_MISSING,True,
strannye-sozdaniya,TRULY_MISSING,True,
tihiy-bunt,TRULY_MISSING,True,
hud,TRULY_MISSING,True,
otel-ekselsior,TRULY_MISSING,True,
maykl-dzhekson-verdikt,TRULY_MISSING,True,
mertvyy-yazyk,TRULY_MISSING,True,
ya-zapisala-ego-dlya-tebya,TRULY_MISSING,True,
nam-ne-uyti,TRULY_MISSING,True,
cerkovnyy-perepoloh,TRULY_MISSING,True,
melodiya-dlya-odinokogo-solo,TRULY_MISSING,True,
nevesta-iz-doliny-yadov,TRULY_MISSING,True,
nerasskazannoe-velikobritaniya-dzheymi-vardi,TRULY_MISSING,True,
dary-rozhdestva,TRULY_MISSING,True,
ya-suschestvuyu,TRULY_MISSING,True,
kto,TRULY_MISSING,True,
pokachivanie,TRULY_MISSING,True,
koe-chto-nastoyaschee,TRULY_MISSING,True,
chernye-dyry-otstoy,TRULY_MISSING,True,
v-begah,TRULY_MISSING,True,
reporter,TRULY_MISSING,True,
moya-zhena-boginya-oruzhiya,TRULY_MISSING,True,
sdelano-v-indii-istoriya-titan,TRULY_MISSING,True,
obschina,TRULY_MISSING,True,
izverzhenie,TRULY_MISSING,True,
boynya-snayperov,TRULY_MISSING,True,
yuzhnye-hroniki,TRULY_MISSING,True,
tayna-keu,TRULY_MISSING,True,
ya-stala-porochnoy-aktrisoy-vtorogo-plana,TRULY_MISSING,True,
vertis-shesterenka,TRULY_MISSING,True,
princessa-u-vas-pyat-muzhey,TRULY_MISSING,True,
eto-lyubov-huligan-i-devushka-s-beloy-trostyu,TRULY_MISSING,True,
moya-devushka-na-zakate,TRULY_MISSING,True,
davay-srazhatsya-prizrak,TRULY_MISSING,True,
uletnyy-otel,TRULY_MISSING,True,
nodame-kantabile,TRULY_MISSING,True,
